oznaka,povrsina_tlorisna_neto,lastniski_delez,st_oseb,elaborat
10010,65.60,0.0028,1.0,1
10020,117.07,0.0050,1.0,2
10030,189.91,0.0080,1.0,3
10040,72.79,0.0031,1.0,4
10050,99.63,0.0042,1.0,5
10060,102.06,0.0043,1.0,6
10070,66.01,0.0028,1.0,7
10080,138.57,0.0059,1.0,8
10090,116.39,0.0049,1.0,9
10100,83.06,0.0035,1.0,10
10110,65.61,0.0028,1.0,11
10120,117.79,0.0050,1.0,12
10130,188.34,0.0080,1.0,13
10140,72.98,0.0031,1.0,14
10150,98.68,0.0042,1.0,15
10160,100.41,0.0043,1.0,16
10170,64.27,0.0027,2.0,17
10180,139.38,0.0059,2.0,18
10190,116.26,0.0049,1.0,19
10200,83.63,0.0035,1.0,20
10210,65.45,0.0028,1.0,21
10220,115.83,0.0049,1.0,22
10230,186.00,0.0079,1.0,23
10240,72.02,0.0030,2.5,24
10250,99.20,0.0042,2.0,25
10260,100.11,0.0042,1.0,26
10270,64.77,0.0027,1.0,27
10280,136.09,0.0058,4.0,28
10290,114.72,0.0049,1.0,29
10300,83.24,0.0035,1.0,30
10310,66.18,0.0028,1.0,31
10320,115.20,0.0049,1.0,32
10330,190.92,0.0081,1.0,33
10340,71.84,0.0030,1.0,34
10350,99.05,0.0042,2.0,35
10360,99.92,0.0042,1.0,36
10370,63.59,0.0027,3.0,37
10380,137.97,0.0058,2.0,38
10390,115.07,0.0049,3.0,39
10400,83.53,0.0035,1.0,40
10410,770.09,0.0163,0,41
10411,129.10,0.0027,0,41
10440,89.26,0.0019,0,44
10450,6.12,0.0003,0,45
10510,4.40,0.0002,0,51
10520,4.40,0.0002,0,52
10530,14.65,0.0006,0,53
10540,26.30,0.0011,0,54
10550,187.57,0.0024,0,55
10570,14.22,0.0006,0,57
10580,4.40,0.0002,0,58
10590,4.40,0.0002,0,59
10600,14.56,0.0006,0,60
10610,52.95,0.0022,0,61
10620,4.00,0.0002,0,62
10630,158.33,0.0034,0,63
10650,14.31,0.0006,0,65
10660,4.40,0.0002,0,66
10670,4.40,0.0002,0,67
10680,14.56,0.0006,0,68
10690,4.00,0.0002,0,69
10700,158.33,0.0067,0,70
10720,14.31,0.0006,0,72
10730,4.40,0.0002,0,73
10740,4.40,0.0002,0,74
10750,33.28,0.0007,0,75
10760,5.72,0.0002,0,76
10790,20.46,0.0003,0,79
10800,406.98,0.0173,0,80
10810,704.32,0.0298,0,81
10820,14.52,0.0006,0,82
10830,5.72,0.0002,0,83
10840,4.40,0.0002,0,84
10850,4.40,0.0002,0,85
10860,52.95,0.0022,0,86
10880,47.42,0.0020,0,88
10900,29.07,0.0012,0,90
10910,4.00,0.0002,0,91
10920,127.14,0.0038,0,92
10930,166.30,0.0035,0,93
10950,11.93,0.0003,0,95
10960,387.30,0.0164,0,96
10961,94.91,0.0040,0,96
10962,57.24,0.0024,0,96
10970,31.20,0.0013,0,97
10981,27.95,0.0012,0,98
10982,52.02,0.0022,0,98
10990,30.20,0.0013,0,99
11000,22.84,0.0010,0,100
11010,348.87,0.0148,0,101
11011,52.50,0.0022,0,101
11012,51.58,0.0022,0,101
11020,230.98,0.0098,0,102
11030,4.07,0.0002,0,103
11040,4.07,0.0002,0,104
11050,527.94,0.0045,0,105
11060,12.42,0.0001,0,106
11150,517.69,0.0002,0,115
11160,679.84,0.0288,0,116
11170,146.11,0.0062,0,117
11180,4.19,0.0002,0,118
11190,4.40,0.0002,0,119
11200,113.83,0.0048,0,120
11210,605.98,0.0257,0,121
11220,17.40,0.0001,0,122
11230,5.72,0.0002,0,123
11240,275.09,0.0023,0,124
11250,117.44,0.0005,0,125
