oznaka,naziv
0,DEFINIRAJ PROIZVAJALCA
PRZ_0001,Agta Record ag
PRZ_0002,AluKomen
PRZ_0003,Aquasystem
PRZ_0004,Beghelli
PRZ_0005,Blue Box
PRZ_0006,Caleffi
PRZ_0007,Castel
PRZ_0008,Cimm
PRZ_0009,Efaflex
PRZ_0010,Elcom
PRZ_0011,ELCOM
PRZ_0012,Firšt
PRZ_0013,Gallus
PRZ_0014,Gerhard Goetze
PRZ_0015,Grelnik vode
PRZ_0016,Grundfoss
PRZ_0017,Herose
PRZ_0018,Hidria
PRZ_0019,Itron-Allmess
PRZ_0020,ITT
PRZ_0021,Klima Celje
PRZ_0022,Kopo d.o.o.
PRZ_0023,Kovina
PRZ_0024,KSB
PRZ_0025,minimax
PRZ_0026,Ninz s.p.a
PRZ_0027,Nuova General Instruments srl
PRZ_0028,Onda
PRZ_0029,Pastor
PRZ_0030,Prominent
PRZ_0031,Reflex
PRZ_0032,Schindler
PRZ_0033,Shamal
PRZ_0034,Siemens
PRZ_0035,Simon doo
PRZ_0036,Stöbich
PRZ_0037,StrelPro
PRZ_0038,SYR
PRZ_0039,Systemair
PRZ_0040,TIEME
PRZ_0041,VIP Tehnika
PRZ_0042,Visa
PRZ_0043,Watts
PRZ_0044,Wilo
PRZ_0045,Woltman
