oznaka,naziv
AV,Aksialni ventilator
VAV,Avtomatska vrata
CR,Cevni razvod
CB,Črpalni blok
DP,Dozirna postaja
DV,Dvigalo
EG,Električni generator
EI,Elektroinstalacije
FT,Filter
GA,Gasilni aparat
GV,Grelnik vode
HI,Hidrant
HA,Hladilni agregat
IZ,Izmenjevalec toplote
JF,Jet Fan
KA,Kalorimeter
KL,Klimat
KO,kompresor
VPR,Navadna Prehodna Vrata
NP,Notranji prostor
OC,Obtočna črpalka
PP,Polnilna Postaja
PO,Potopna črpalka
PC,požarna centrala
VPZ,Požarna vrata
PZ,Požarna zavesa
PL,Požarne Lopute
PT,Prenosnik toplote
PK,Prezračevalni kanal
RZ,Rezervoar
VRO,Rolo vrata
SP,Sprinkler sistem
SB,Stikalni blok
TP,Tlačna posoda
TC,Toplotna črpalka
TPP,Toplotna postaja
VV,Varnosni ventil
VS,Varnostna svetilka
VD,Vodomer
ZP,Zunanji prostor
TS,Tekoče stopnice
