oznaka,naziv,url_ref,modul,zap_st
NAROCILO_CREATE,Novo Naročilo,moduli:narocila:narocilo_create,NRC,9999
NAROCILO_CREATE_TEL,Novo Naročilo Telefon,,NRC,9999
NAROCILO_LIST,Seznam Naročil,moduli:narocila:narocilo_list,NRC,9999
NAROCILO_DETAIL,Podrobnosti Naročila,,NRC,9999
NAROCILO_CREATE_DOKUMENT,Novo Naročilo Dokument,,NRC,9999
ZAHTEVEK_LIST,Seznam Zahtevkov,moduli:zahtevki:zahtevek_list,ZHT,9999
OPRAVILO_CREATE,Novo Opravilo,,ZHT,9999
PODZAHTEVEK_SESTANEK_CREATE,Nov Podzahtevek,,ZHT,9999
ZAHTEVEK_DETAIL,Podrobnosti Zahtevka,,ZHT,9999
ZAHTEVEK_IZVEDBA_DEL_CREATE,Nova Izvedba Del,,ZHT,9999
ZAHTEVEK_SESTANEK_CREATE,Nov Sestanek,,ZHT,9999
ZAHTEVEK_CREATE,Nov Zahtevek,moduli:zahtevki:zahtevek_create,ZHT,9999
OPRAVILO_FROM_VZOREC_CREATE,Novo Planirano Opravilo,,ZHT,9999
ZAHTEVEK_PREDAJA_LASTNINE_CREATE,Nova Predaja Lastnine,,ZHT,9999
PRODAJA_LASTNINE_CREATE,Prodaja Lastnine,,ZHT,9999
NAJEM_LASTNINE_CREATE,Najem Lastnine,,ZHT,9999
ZAHTEVEK_ANALIZA_CREATE,Nova Analiza Problema ali Predloga,,ZHT,9999
PODZAHTEVEK_ANALIZA_CREATE,Nova Analiza Problema ali Predloga,,ZHT,9999
ZAHTEVEK_POVPRASEVANJE_CREATE,Novo Povpraševanje,,ZHT,9999
PODZAHTEVEK_POVPRASEVANJE_CREATE,Novo Povprasevanje,,ZHT,9999
ZAHTEVEK_REKLAMACIJA_CREATE,Nova Reklamacija,,ZHT,9999
PODZAHTEVEK_REKLAMACIJA_CREATE,Nova Reklamacija,,ZHT,9999
DEL_LIST,Seznam Delov,moduli:deli:del_list,DEL,9999
DEL_DETAIL,Podrobnosti Dela,,DEL,9999
PROJEKTNO_MESTO_CREATE,Novo Projektno Mesto,moduli:deli:projektno_mesto_create,DEL,9999
ELEMENT_DETAIL,Podrobnosti Elementa,,DEL,9999
DEL_CREATE,Nov Del,moduli:deli:del_create,DEL,9999
DOBAVA_CREATE,Dobava : Dodaj,moduli:skladisce:dobava_create,SKL,9999
DOBAVA_LIST,Dobava : Seznam,moduli:skladisce:dobava_list,SKL,9999
DOBAVA_DETAIL,Dobava : Podrobnosti,,SKL,9999
ARTIKEL_CREATE,Artikel : Dodaj,moduli:skladisce:artikel_create,SKL,9999
ARTIKEL_LIST,Artikel : Seznam,moduli:skladisce:artikel_list,SKL,9999
DNEVNIK_LIST,Dnevnik,moduli:skladisce:dnevnik_list,SKL,9999
DN_LIST,Seznam Delovnih Nalogov,moduli:delovninalogi:dn_list,DN,9999
DN_DETAIL,Podrobnosti Delovnega Naloga,,DN,9999
OPRAVILO_DETAIL,Podrobnosti Opravila,,DN,9999
VZOREC_OPRAVILA_DETAIL,Podrobnosti Vzorca Opravila,,DN,9999
PR_LIST,Seznam Partnerjev,moduli:partnerji:partner_list,PR,9999
PR_CREATE,Nov Partner,moduli:partnerji:partner_create,PR,9999
PR_DETAIL,Podrobnosti Partnerja,,PR,9999
INT_LIST_LAST,Seznam Internih Lastniških Enot - Lastniška,moduli:etaznalastnina:int_list_last,EL,9999
INT_LIST_TEH,Seznam Internih Lastniških Enot - Tehnična,moduli:etaznalastnina:int_list_teh,EL,9999
