is_pravnaoseba,davcni zavezanec,davcna_st,maticna_st,dolgo_ime,kratko_ime,naslov,posta
TRUE,TRUE,68297530,5026024000,ABANKA d.d.,ABANKA d.d.,Slovenska cesta 58,1000
TRUE,TRUE,98026305,5092221000,BANKA KOPER d.d.,BANKA KOPER d.d.,Pristaniška ulica 14,6000
TRUE,TRUE,92582087,5023912000,BANKA SLOVENIJE,BANKA SLOVENIJE LJUBLJANA,Slovenska cesta 35,1000
TRUE,TRUE,77752252,2211254000,BANKA SPARKASSE d.d.,Sparkasse d.d.,Cesta v Kleče 15,1000
TRUE,TRUE,38198312,2013649000,"BKS BANK AG, Bančna podružnica",BKS BANK AG,Verovškova ulica 55A,1000
TRUE,TRUE,47523638,5448557000,DELAVSKA HRANILNICA d.d. LJUBLJANA,DELAVSKA HRANILNICA d.d. LJUBLJANA,Miklošičeva cesta 5,1000
TRUE,TRUE,18787762,5349907000,DEŽELNA BANKA SLOVENIJE d.d.,DBS d.d.,Kolodvorska ulica 9,1000
TRUE,TRUE,27516407,5777011000,Factor banka d.d.,Factor banka d.d.,Tivolska cesta 48,1000
TRUE,TRUE,42780071,5103061000,"GORENJSKA BANKA D.D., KRANJ","GB d.d., Kranj",Bleiweisova cesta 1,4000
TRUE,TRUE,40451372,5624908000,"Hranilnica LON d.d., Kranj","LON d.d., Kranj",Bleiweisova cesta 2,4000
TRUE,TRUE,75482894,1319175000,HYPO ALPE-ADRIA-BANK d.d.,HYPO BANK d.d.,Dunajska cesta 117,1000
TRUE,TRUE,94314527,5860580000,NOVA KREDITNA BANKA MARIBOR d.d.,NOVA KBM d.d.,Ulica Vita Kraigherja 4,2000
TRUE,TRUE,91132550,5860571000,"NOVA LJUBLJANSKA BANKA d.d., Ljubljana",NLB d.d.,Trg republike 2,1000
TRUE,TRUE,24009725,5620112000,"POŠTNA BANKA SLOVENIJE, d.d. - bančna skupina Nove Kreditne banke Maribor d.d.","PB SLOVENIJE, d.d. - bančna skupina Nove KBM d.d.",Ulica Vita Kraigherja 5,2000
TRUE,TRUE,78184495,5214246000,PRIMORSKA HRANILNICA VIPAVA d.d.,HRANILNICA VIPAVA d.d.,Glavni trg 15,5271
TRUE,TRUE,29370876,5706491000,RAIFFEISEN BANKA D.D.,RAIFFEISEN BANKA D.D.,Zagrebška cesta 76,2000
TRUE,TRUE,41561767,5496527000,Sberbank banka d.d.,Sberbank d.d.,Dunajska cesta 128A,1000
TRUE,TRUE,40502368,5026237000,SKB BANKA D.D. LJUBLJANA,SKB d.d.,Ajdovščina 4,1000
TRUE,TRUE,59622806,5446546000,UNICREDIT BANKA SLOVENIJA d.d.,UNICREDIT BANKA SLOVENIJA d.d.,Šmartinska cesta 140,1000
TRUE,TRUE,62066510,2048159000,"ZVEZA BANK, registrirana zadruga z omejenim jamstvom, Podružnica Ljubljana","ZVEZA BANK, registrirana zadruga z omejenim jamstvom, Podružnica Ljubljana",Bravničarjeva ulica 13,1000
TRUE,TRUE,42820600,5459702000,"PROBANKA, d.d.","PROBANKA, d.d.",Trg Leona Štuklja 12,2000
TRUE,TRUE,82155135,5665493000,"SID - Slovenska izvozna in razvojna banka, d.d., Ljubljana","SID banka, d.d., Ljubljana",Ulica Josipine Turnograjske 6,1000
TRUE,TRUE,42846811,5893194000,KDD - CENTRALNA KLIRINŠKO DEPOTNA DRUŽBA delniška družba,KDD d.d.,Tivolska cesta 48,1000
