predpis_opravilo,predpis
STR,EDA0608-STR
EL,EDA0608-EL
1-10,ZVPoz
1-10,APZ
1-11,ZVPoz
1-11,TVG
1-11,ZVD
1-11,PR
1-10,PR
1-1,ZVPoz
1-2,ZVPoz
1-3,IUVP
1-4,IUVP
1-5,IUVP
1-6,IUVP
1-7,IUVP
1-8,IUVP
1-9,IUVP
1-12,PHO
1-13,TNHOGP
2-2-3,OMKN
2-2-4,OMKN
2-6-1,UOSSFTP
2-6-2,UIUES
2-6-3,UOSSFTP
3-1-5,DVGW-W551
3-1-7,PPKS
3-1-9,PPKS
3-1-11,PPKS
4-1-8,VZUDO
4-1-10,ZVD
4-1-13,ZVZD-1
4-1-14,VET
4-1-14,VZUDO
4-2-2,PDV
4-2-3,PDV
5-2-6,PPOPT
5-2-7,PPOPT
5-2-8,PPOPT
5-4-1,UEN
5-1-2,ZSS
5-2-11,PPOPT
VP,PR
INS-S-1,ZAP-BA02-2014-06-13
RC,ZAP-04-SES-14-01
RC,POUS
MER,MI
BA02,PID ŠP 01/11
BA02,WIC-04122008
INS-S-1,UN-F-20130514
STR-01-KONV,AERMEC FanCoil
STR-01-KONV,EDA0608-STR
