oznaka,naziv,zap_st,skupina
O-CIS-01,Odvoz in zasip odpadkov,1,CIS
O-CIS-02,Čiščenje prostorov,2,CIS
O-CIS-03,Posebna opravila,3,CIS
O-ENR-01,Električna energija,1,ENR
O-ENR-02,Toplota preko vročevoda,2,ENR
O-ENR-03,Goriva,3,ENR
O-ENR-04,Vodarina in kanalščina,4,ENR
O-OST-01,"Takse, Nadomestila, Pristojbine",1,OST
O-PRG-01,Planirani tehnični nadzori in pregledi,1,PRG
O-PRG-02,Neplanirani tehnični nadzori in pregledi,2,PRG
O-TVZ-01,Hišniška opravila,1,TVZ
O-TVZ-02,Vzdrževalna dela,3,TVZ
O-VAR-01,Požarna varnost,1,VAR
O-VAR-02,Reševanje iz dvigal,2,VAR
O-VAR-03,Varnostno-tehnično dežurstvo,3,VAR
O-ZAV-01,Premoženjsko zavarovanje,1,ZAV
U-ONU-01,Osnovne naloge po pogodbi o upravljanju,1,ONU
U-ONU-02,Upravljanje lastnine Euroinvest d.o.o.,2,ONU
E-USP-01,Usposabljanja v podjetju,1,USP
V-INV-01,Planirano investicijsko vzdrževanje,1,INV
V-INV-02,Neplanirano investicijsko vzdrževanje,2,INV
V-INV-03,Odprava pomankljivosti,3,INV
E-SDP-01,Pisarniški material,1,SDP
E-SDP-02,Poštne storitve,2,SDP
E-SDP-03,Računovodstvo,3,SDP
E-SDP-04,Telekomunikacije,4,SDP
E-SDP-05,Računalniška in druga oprema,5,SDP
E-SDP-06,Čiščenje,6,SDP
E-SDP-07,Vzdrževanje,7,SDP
E-SDP-08,Tehnično nadzori,8,SDP
E-SDP-09,Vozni park,9,SDP
E-SDP-10,Reprezentanca,10,SDP
O-OST-02,Izkazi,2,OST
E-VOD-01,Stroški vodenja podjetja,1,VOD
E-NAJ-01,Najem Parkirna Mesta,11,NAJ
E-SDP-11,Pravne storitve,11,SDP
