datum_odcitka,stanje_staro,stanje_novo,delilnik,obdobje_leto,obdobje_mesec
2/1/2012,0,0,130K2,2012,1
2/1/2012,0,0,575K2,2012,1
2/1/2012,0,0,DE010001,2012,1
2/1/2012,0,0,DE010002,2012,1
2/1/2012,0,0,DE01OE01,2012,1
2/1/2012,0,0,DE01OE02,2012,1
2/1/2012,0,0,DE01OE03,2012,1
2/1/2012,0,0,DE01OE04,2012,1
2/1/2012,0,0,DE01OE05,2012,1
2/1/2012,0,0,DE01OE06,2012,1
2/1/2012,0,0,DE01OE07,2012,1
2/1/2012,0,0,DE01OE08,2012,1
2/1/2012,0,0,DE01OE09,2012,1
2/1/2012,0,0,DE01OE10,2012,1
2/1/2012,0,0,DE01OE11,2012,1
2/1/2012,0,0,DE01OE12,2012,1
2/1/2012,0,0,DE01OE13,2012,1
2/1/2012,0,0,DE01OE14,2012,1
2/1/2012,0,0,DE01OE15,2012,1
2/1/2012,0,0,DE01OE16,2012,1
2/1/2012,0,0,DE01OE17,2012,1
2/1/2012,0,0,DE01OE18,2012,1
2/1/2012,0,0,DE01OE19,2012,1
2/1/2012,0,0,DE01OE20,2012,1
2/1/2012,0,0,DE01OE21,2012,1
2/1/2012,0,0,DE01OE22,2012,1
2/1/2012,0,0,DE01OE23,2012,1
2/1/2012,0,0,DE01OE24,2012,1
2/1/2012,0,0,DE01OE25,2012,1
2/1/2012,0,0,DE01OE26,2012,1
2/1/2012,0,0,DE01OE27,2012,1
2/1/2012,0,0,DE01OE28,2012,1
2/1/2012,0,0,DE01OE29,2012,1
2/1/2012,0,0,DE01OE30,2012,1
2/1/2012,0,0,DE01OE31,2012,1
2/1/2012,0,0,DE01OE32,2012,1
2/1/2012,0,0,DE01OE33,2012,1
2/1/2012,0,0,DE01OE34,2012,1
2/1/2012,0,0,DE01OE35,2012,1
2/1/2012,0,0,DE01OE36,2012,1
2/1/2012,0,0,DE01OE37,2012,1
2/1/2012,0,0,DE01OE38,2012,1
2/1/2012,0,0,DE01OE39,2012,1
2/1/2012,0,0,DE01OE40,2012,1
2/1/2012,0,0,DE01OE41,2012,1
2/1/2012,0,0,DE01OE42,2012,1
2/1/2012,0,0,DE01OE43,2012,1
2/1/2012,0,0,DE01OE44,2012,1
2/1/2012,0,0,DE01OE45,2012,1
2/1/2012,0,0,DE01OE46,2012,1
2/1/2012,0,0,DE01OE47,2012,1
2/1/2012,0,0,DE01OE48,2012,1
2/1/2012,0,0,DE01OE49,2012,1
2/1/2012,0,0,DE01OE50,2012,1
2/1/2012,0,0,DE01OE51,2012,1
2/1/2012,0,0,DE020001,2012,1
2/1/2012,0,0,DE020002,2012,1
2/1/2012,0,0,DE02OE01,2012,1
2/1/2012,0,0,DE02OE02,2012,1
2/1/2012,0,0,DE02OE03,2012,1
2/1/2012,0,0,DV010001,2012,1
2/1/2012,18.38,215326,GV01,2012,1
2/1/2012,116663,123768,GV02,2012,1
2/1/2012,138728,139234,GV03,2012,1
2/1/2012,177343,177343,GV04,2012,1
2/1/2012,80255,83049,GV05,2012,1
2/1/2012,87705,103705,GV06,2012,1
2/1/2012,26871,26984,GV07,2012,1
2/1/2012,9326,10971,GV08,2012,1
2/1/2012,0,0,K01g,2012,1
2/1/2012,0,0,K01KLg,2012,1
2/1/2012,0,0,K02g,2012,1
2/1/2012,0,0,K02KLg,2012,1
2/1/2012,0,0,K03g,2012,1
2/1/2012,0,0,K03KLg,2012,1
2/1/2012,0,0,K04g,2012,1
2/1/2012,0,0,K04KLg,2012,1
2/1/2012,0,0,K05g,2012,1
2/1/2012,0,0,K05KLg,2012,1
2/1/2012,0,0,K06g,2012,1
2/1/2012,0,0,K06KLg,2012,1
2/1/2012,0,0,K07g,2012,1
2/1/2012,0,0,K07KLg,2012,1
2/1/2012,0,0,K08g,2012,1
2/1/2012,0,0,K08KLg,2012,1
2/1/2012,0,0,K09g,2012,1
2/1/2012,0,0,K10g,2012,1
2/1/2012,0,0,K11g,2012,1
2/1/2012,0,0,K12g,2012,1
2/1/2012,15.23,21.48,K13g,2012,1
2/1/2012,0,0,K14g,2012,1
2/1/2012,0,0,K15g,2012,1
2/1/2012,0,0,K16g,2012,1
2/1/2012,0,0,K17g,2012,1
2/1/2012,0,0,KK01-T,2012,1
2/1/2012,0,0,KK02-T,2012,1
2/1/2012,0,0,KK03-T,2012,1
2/1/2012,0,0,KK04-T,2012,1
2/1/2012,0,0,KK05-T,2012,1
2/1/2012,0,0,KK06-T,2012,1
2/1/2012,0,0,KK07-T,2012,1
2/1/2012,0,0,KK08-T,2012,1
2/1/2012,0,0,KK09-T,2012,1
2/1/2012,0,0,KK10-T,2012,1
2/1/2012,0,0,KK11-T,2012,1
2/1/2012,0,0,KK12-T,2012,1
2/1/2012,0,0,KK13-T,2012,1
2/1/2012,0,0,KK14-T,2012,1
2/1/2012,0,0,KK15-T,2012,1
2/1/2012,1,1,KK16-T,2012,1
2/1/2012,0,0,KK17-T,2012,1
2/1/2012,0,0,KK18-T,2012,1
2/1/2012,0,0,KK19-T,2012,1
2/1/2012,0,0,KK20-T,2012,1
2/1/2012,0,0,KK21-T,2012,1
2/1/2012,0,0,KK22-T,2012,1
2/1/2012,0,0,KK23-T,2012,1
2/1/2012,0,0,KK24-T,2012,1
2/1/2012,0,0,KK25-T,2012,1
2/1/2012,0,0,KK26-T,2012,1
2/1/2012,0,0,KK27-T,2012,1
2/1/2012,0,0,KK28-T,2012,1
2/1/2012,0,0,KK29-T,2012,1
2/1/2012,0,0,KK30-T,2012,1
2/1/2012,0,0,KK31-T,2012,1
2/1/2012,0,0,KK32-T,2012,1
2/1/2012,0,0,KK33-T,2012,1
2/1/2012,0,0,KK34-T,2012,1
2/1/2012,0,0,KK35-T,2012,1
2/1/2012,0,0,KK36-T,2012,1
2/1/2012,0,0,KK37-T,2012,1
2/1/2012,0,0,KK38-T,2012,1
2/1/2012,0,0,KK39-T,2012,1
2/1/2012,0,0,KK40-T,2012,1
2/1/2012,0,0,KT01-T,2012,1
2/1/2012,0,0,KT02-T,2012,1
2/1/2012,0,0,KT03-T,2012,1
2/1/2012,0,0,KT04-T,2012,1
2/1/2012,0,0,KT05-T,2012,1
2/1/2012,0,0,KT06-T,2012,1
2/1/2012,0,0,KT07-T,2012,1
2/1/2012,0,0,KT08-T,2012,1
2/1/2012,0,0,KT09-T,2012,1
2/1/2012,0,0,KT10-T,2012,1
2/1/2012,0,0,KT11-T,2012,1
2/1/2012,0,0,KT12-T,2012,1
2/1/2012,0,0,KT13-T,2012,1
2/1/2012,0,0,KT14-T,2012,1
2/1/2012,0,0,KT15-T,2012,1
2/1/2012,1,1,KT16-T,2012,1
2/1/2012,0,0,KT17-T,2012,1
2/1/2012,0,0,KT18-T,2012,1
2/1/2012,0,0,KT19-T,2012,1
2/1/2012,0,0,KT20-T,2012,1
2/1/2012,0,0,KT21-T,2012,1
2/1/2012,0,0,KT22-T,2012,1
2/1/2012,0,0,KT23-T,2012,1
2/1/2012,0,0,KT24-T,2012,1
2/1/2012,0,0,KT25-T,2012,1
2/1/2012,0,0,KT26-T,2012,1
2/1/2012,0,0,KT27-T,2012,1
2/1/2012,0,0,KT28-T,2012,1
2/1/2012,0,0,KT29-T,2012,1
2/1/2012,0,0,KT30-T,2012,1
2/1/2012,0,0,KT31-T,2012,1
2/1/2012,0,0,KT32-T,2012,1
2/1/2012,0,0,KT33-T,2012,1
2/1/2012,0,0,KT34-T,2012,1
2/1/2012,0,0,KT35-T,2012,1
2/1/2012,0,0,KT36-T,2012,1
