v_okvari,v_delovanju,stevec
false,true,S230430370001
false,true,S230430370002
false,true,S230430370003
false,true,S230430370004
false,true,S230430370005
false,true,S230430370006
false,true,S230430370007
false,true,S230430370008
false,true,S230430370009
false,true,S230430370010
false,true,S230430370011
false,true,S230430370012
false,true,S230430370013
false,true,S230430370014
false,true,S230430370015
false,true,S230430370016
false,true,S230430370017
false,true,S230430370018
false,true,S230430370019
false,true,S230430370020
false,true,S230430370021
false,true,S230430370022
false,true,S230430370023
false,true,S230430370024
false,true,S230430370025
false,true,S230430370026
false,true,S230430370027
false,true,S230430370028
false,true,S230430370029
false,true,S230430370030
false,true,S230430370031
false,true,S230430370032
false,true,S230430370033
false,true,S230430370034
false,true,S230430370035
false,true,S230430370036
false,true,S230430370037
false,true,S230430370038
false,true,S230430370039
false,true,S230430370040
false,true,S230430370041
false,true,S230430370042
false,true,S230430370043
false,true,S230430370044
false,true,S230430370045
false,true,S230430370046
false,true,S230430370047
false,true,S230430370048
false,true,S230430370049
false,true,S230430370050
false,true,S230430370051
false,true,S230430370052
false,true,S230430370053
false,true,S230430370054
false,true,S230430370055
false,true,S230430370056
false,true,S230430370057
false,true,S230430370058
false,true,S230430370059
false,true,S230430370060
false,true,S230430370061
false,true,S230430370062
false,true,S230430370063
false,true,S230430370064
false,true,S230430370065
false,true,S230430370066
false,true,S230430370067
false,true,S230430370068
false,true,S230430370069
false,true,S230430370070
false,true,S230430370071
false,true,S230430370072
false,true,S230430370073
false,true,S230430370074
false,true,S230430370075
false,true,S230430370076
false,true,S230430370077
false,true,S230430370078
false,true,S230430370079
false,true,S230430370080
false,true,S230430370081
false,true,S230430370082
false,true,S230430370083
false,true,S230430370084
false,true,S230430370085
false,true,S230430370086
false,true,S230430370087
false,true,S230430370088
false,true,S230430370089
false,true,S230430370090
false,true,S230430370091
false,true,S230430370092
false,true,S230430370093
false,true,S230430370094
false,true,S230430370095
false,true,S230430370096
false,true,S230430370097
false,true,S230430370098
false,true,S230430370099
false,true,S230430370100
false,true,S230430370101
false,true,S230430370102
false,true,S230430370103
false,true,S230430370104
false,true,S230430370105
false,true,S230430370106
false,true,S230430370107
false,true,S230430370108
false,true,S230430370109
false,true,S230430370110
false,true,S230430370111
false,true,S230430370112
false,true,S230430370113
false,true,S230430370114
false,true,S230430370115
false,true,S230430370116
false,true,S230430370117
false,true,S230430370118
false,true,S230430370119
false,true,S230430370120
false,true,S230430370121
false,true,S230430370122
false,true,S230430370123
false,true,S230430370124
false,true,S230430370125
false,true,S230430370126
false,true,S230430370127
false,true,S230430370128
false,true,S230430370129
false,true,S230430370130
false,true,S230430370131
false,true,S230430370132
false,true,S230430370133
false,true,S230430370134
false,true,S230430370135
false,true,S230430370136
false,true,S230430370137
false,true,S230430370138
false,true,S230430370139
false,true,S230430370140
false,true,S230430370141
false,true,S230430370142
false,true,S230430370143
false,true,S230430370144
false,true,S230430370145
false,true,S230430370146
false,true,S230430370147
false,true,S230430370148
false,true,S230430370149
false,true,S230430370150
false,true,S230430370151
false,true,S230430370152
false,true,S230430370153
false,true,S230430370154
false,true,S230430370155
false,true,S230430370156
false,true,S230430370157
false,true,S230430370158
false,true,S230430370159
false,true,S230430370160
false,true,S230430370161
false,true,S230430370162
false,true,S230430370163
false,true,S230430370164
false,true,S230430370165
false,true,S230430370166
false,true,S230430370167
false,true,S230430370168
false,true,S230430370169
false,true,S230430370170
false,true,S230430370171
false,true,S230430370172
false,true,S230430370173
false,true,S230430370174
false,true,S230430370175
false,true,S230430370176
false,true,S230430370177
false,true,S230430370178
false,true,S230430370179
false,true,S230430370180
false,true,S230430370181
false,true,S230430370182
false,true,S230430370183
false,true,S230430370184
false,true,S230430370185
false,true,S230430370186
false,true,S230430370187
false,true,S230430370188
false,true,S230430370189
false,true,S230430370190
false,true,S230430370191
false,true,S230430370192
false,true,S230430370193
false,true,S230430370194
false,true,S230430370195
false,true,S230430370196
false,true,S230430370197
false,true,S230430370198
false,true,S230430370199
false,true,S230430370200
false,true,S230430370201
false,true,S230430370202
false,true,S230430370203
false,true,S230430370204
false,true,S230430370205
false,true,S230430370206
false,true,S230430370207
false,true,S230430370208
false,true,S230430370209
false,true,S230430370210
false,true,S230430370211
false,true,S230430370212
false,true,S230430370213
false,true,S230430370214
false,true,S230430370215
false,true,S230430370216
false,true,S230430370217
false,true,S230430370218
false,true,S230430370219
false,true,S230430370220
false,true,S230430370221
false,true,S230430370222
false,true,S230430370223
false,true,S230430370224
false,true,S230430370225
false,true,S230430370226
false,true,S230430370227
false,true,S230430370228
false,true,S230430370229
false,true,S230430370230
false,true,S230430370231
false,true,S230430370232
false,true,S230430370233
false,true,S230430370234
false,true,S230430370235
false,true,S230430370236
false,true,S230430370237
false,true,S230430370238
false,true,S230430370239
false,true,S230430370240
false,true,S230430370241
false,true,S230430370242
false,true,S230430370243
false,true,S230430370244
false,true,S230430370245
false,true,S230430370246
false,true,S230430370247
false,true,S230430370248
false,true,S230430370249
false,true,S230430370250
false,true,S230430370251
false,true,S230430370252
false,true,S230430370253
false,true,S230430370254
false,true,S230430370255
false,true,S230430370256
false,true,S230430370257
false,true,S230430370258
