oznaka,naziv,is_distribucija,upravljavec
S230430370001,DISTRIBUCIJA OGREVANJE POSLOVNI DEL,true,71747761
S230430370002,DISTRIBUCIJA OGREVANJE STANOVANJSKI DEL,true,71747761
S230430370003,DISTRIBUCIJA SKUPNA RABA,true,37102656
S230430370004,DVIGALO D10,false,97041823
S230430370005,TOPLOTNA POSTAJA E8,false,97041823
S230430370006,KLIMAT PISARNE SEVER (2),false,97041823
S230430370007,KLIMAT PISARNE JUG (1),false,97041823
S230430370008,HLADILNI AGREGAT 3 STANOVANJA,false,97041823
S230430370009,HLADILNI AGREGAT 1 in 2 POSLOVNI DEL,false,97041823
S230430370010,SKUPNA INSTALACIJA (JAŠKI),false,97041823
S230430370011,SANITARIJE P2,false,97041823
S230430370012,TOPLOTNA POSTAJA  PISARNE J1 in J4,false,97041823
S230430370013,POŽAR - VSE KAR JE VEZANO NA DIESEL AGREGAT,false,97041823
S230430370014,POŽAR NADTLAK STOPNIŠČA J1.2,false,97041823
S230430370015,POŽAR NADTLAK STOPNIŠČA J4.2,false,97041823
S230430370016,POŽAR NADTLAK STOPNIŠČA J3,false,97041823
S230430370017,DVIGALO D1 in D2,false,97041823
S230430370018,KOMUNIKACIJSKA VOZLIŠČA E1-E8,false,97041823
S230430370019,HIDROFORNA POSTAJA,false,97041823
S230430370020,POŽAR - DIESEL AGREGAT,false,97041823
S230430370021,STANOVANJSKA STOPNIŠČA,false,97041823
S230430370022,GARAŽA K1 (GARAŽA IN SMETI),false,97041823
S230430370023,SMETI K1,false,97041823
S230430370024,GARAŽA K2 (GARAŽA IN TOPLOTNA POSTAJA),false,97041823
S230430370025,TOPLOTNA POSTAJA K2 TRGOVSKI DEL P1-P3,false,97041823
S230430370026,TOPLOTNA POSTAJA K2 STANOVANJA,false,97041823
S230430370027,TOPLOTNA POSTAJA K2 POSLOVNI DEL,false,97041823
S230430370028,GARAŽA K3 (GARAŽA in SHRAMBE PISARNE K5-K2),false,97041823
S230430370029,"SHRAMBE PISARNE K5-K2 + STANOVANJA 28, 33, 34",false,97041823
S230430370030,GARAŽA K4,false,97041823
S230430370031,"GARAŽA K5 (GARAŽA, SHRAMBE STANOVALCI, ARHIV)",false,97041823
S230430370032,SHRAMBE VZHOD,false,97041823
S230430370033,TEDA MULTIPAK,false,97041823
S230430370034,SHRAMBE JUG,false,97041823
S230430370035,SHRAMBE SEVER,false,97041823
S230430370036,ZUNANJA RAZSVETLJAVA (ZAČASNO GRADBIŠČE),false,97041823
S230430370037,KLIMAT TRGOVINE SEVER (7),false,97041823
S230430370038,KLIMAT TEDA K1 in MARKET K1 (3),false,97041823
S230430370039,KLIMAT TRGOVINE JUG (6),false,97041823
S230430370040,SHRAMBA STANOVANJE 33,false,97041823
S230430370041,SHRAMBA STANOVANJE 8,false,97041823
S230430370042,SHRAMBA STANOVANJE 17,false,97041823
S230430370043,LOKAL NARA CAMICIE,false,97041823
S230430370044,LOKAL GOLD STORE,false,97041823
S230430370045,LOKAL TIC,false,97041823
S230430370046,LOKAL KEBAB,false,97041823
S230430370047,LOKAL FRIZER FLAVIJO,false,97041823
S230430370048,LOKAL AMBIENT,false,97041823
S230430370049,LOKAL 101/2 (Armulin d.o.o.),false,97041823
S230430370050,LOKAL GALERIJA,false,97041823
S230430370051,ARHIV K5 HODNIK,false,97041823
S230430370052,ARHIV K5 ZPIZ,false,97041823
S230430370053,PRIKLOP PRIREDITVE,false,97041823
S230430370054,GRADBIŠČE STANOVANJA,false,97041823
S230430370055,DISTRIBUCIJA POSLOVNI DEL  - VT,true,37102656
S230430370056,SKUPNI HODNIK E8,false,97041823
S230430370057,"POSLOVNA DVIGALA D3, D4, D5, D6, D7, D11",false,97041823
S230430370058,PLESNA ŠOLA,false,97041823
S230430370059,DISTRIBUCIJA VODARINA,true,91503027
S230430370060,POSLOVNI NIZKA CONA 0.01,false,97041823
S230430370061,POSLOVNI VISOKA CONA 0.01,false,97041823
S230430370062,STANOVANJSKA CONA 0.01,false,97041823
S230430370063,HIDRANTNO OMREŽJE VISOKA,false,97041823
S230430370064,HIDRANTNO OMREŽJE NIZKA,false,97041823
S230430370065,TEDA SLAŠČIČARNA K1,false,97041823
S230430370066,KLIMAT TRGOVINE JUG,false,97041823
S230430370067,TEDA KAVARNA P1,false,97041823
