oznaka,naslov,posta,program,opis,povrsina_tlorisna_neto,lastniski_delez
1,Delpinova ulica 18 A,5000,STAN,Stanovanje,65.6,0.0028
2,Delpinova ulica 18 A,5000,STAN,Stanovanje,117.07,0.0050
3,Delpinova ulica 18 A,5000,STAN,Stanovanje,189.91,0.0080
4,Delpinova ulica 18 A,5000,STAN,Stanovanje,72.79,0.0031
5,Delpinova ulica 18 A,5000,STAN,Stanovanje,99.63,0.0042
6,Delpinova ulica 18 C,5000,STAN,Stanovanje,102.06,0.0043
7,Delpinova ulica 18 C,5000,STAN,Stanovanje,66.01,0.0028
8,Delpinova ulica 18 C,5000,STAN,Stanovanje,138.57,0.0059
9,Delpinova ulica 18 C,5000,STAN,Stanovanje,116.39,0.0049
10,Delpinova ulica 18 C,5000,STAN,Stanovanje,83.06,0.0035
11,Delpinova ulica 18 A,5000,STAN,Stanovanje,65.61,0.0028
12,Delpinova ulica 18 A,5000,STAN,Stanovanje,117.79,0.0050
13,Delpinova ulica 18 A,5000,STAN,Stanovanje,188.34,0.0080
14,Delpinova ulica 18 A,5000,STAN,Stanovanje,72.98,0.0031
15,Delpinova ulica 18 A,5000,STAN,Stanovanje,98.68,0.0042
16,Delpinova ulica 18 C,5000,STAN,Stanovanje,100.41,0.0043
17,Delpinova ulica 18 C,5000,STAN,Stanovanje,64.27,0.0027
18,Delpinova ulica 18 C,5000,STAN,Stanovanje,139.38,0.0059
19,Delpinova ulica 18 C,5000,STAN,Stanovanje,116.26,0.0049
20,Delpinova ulica 18 C,5000,STAN,Stanovanje,83.63,0.0035
21,Delpinova ulica 18 A,5000,STAN,Stanovanje,65.45,0.0028
22,Delpinova ulica 18 A,5000,STAN,Stanovanje,115.83,0.0049
23,Delpinova ulica 18 A,5000,STAN,Stanovanje,186.00,0.0079
24,Delpinova ulica 18 A,5000,STAN,Stanovanje,72.02,0.0030
25,Delpinova ulica 18 A,5000,STAN,Stanovanje,99.20,0.0042
26,Delpinova ulica 18 C,5000,STAN,Stanovanje,100.11,0.0042
27,Delpinova ulica 18 C,5000,STAN,Stanovanje,64.77,0.0027
28,Delpinova ulica 18 C,5000,STAN,Stanovanje,136.09,0.0058
29,Delpinova ulica 18 C,5000,STAN,Stanovanje,114.72,0.0049
30,Delpinova ulica 18 C,5000,STAN,Stanovanje,83.24,0.0035
31,Delpinova ulica 18 A,5000,STAN,Stanovanje,66.18,0.0028
32,Delpinova ulica 18 A,5000,STAN,Stanovanje,115.20,0.0049
33,Delpinova ulica 18 A,5000,STAN,Stanovanje,190.92,0.0081
34,Delpinova ulica 18 A,5000,STAN,Stanovanje,71.84,0.0030
35,Delpinova ulica 18 A,5000,STAN,Stanovanje,99.05,0.0042
36,Delpinova ulica 18 C,5000,STAN,Stanovanje,99.92,0.0042
37,Delpinova ulica 18 C,5000,STAN,Stanovanje,63.59,0.0027
