oznaka,naziv,tip_artikla,proizvajalec
ART_000001,Systemair AXC500-10/14°-2-100L,AV,PRZ_0039
ART_000002,Systemair KD 400 XL3,AV,PRZ_0039
ART_000003,Systemair HA (N) 1000-8/34°-4/8 (F)-180L,AV,PRZ_0039
ART_000004,Systemair HA (N) 1000-8/34°-4/8 (F)-180L,AV,PRZ_0039
ART_000005,Systemair HA (N) 560-8/32°-2/4 (F),AV,PRZ_0039
ART_000006,Systemair AXC 500-10/11°-2-90L,AV,PRZ_0039
ART_000007,Systemair 355 XL3,AV,PRZ_0039
ART_000008,Systemair AXC 1000-10/12°-4-132M,AV,PRZ_0039
ART_000009,Systemair DSV 400 E4,AV,PRZ_0039
ART_000010,Systemair AXC 630-2/10°-2-100L,AV,PRZ_0039
ART_000011,avtomatska drsna vrata Record STA 20,VAV,PRZ_0001
ART_000012,Črpalni blok HFHP 4/55/ 10SV13,CB,PRZ_0041
ART_000013,Alumplast cevni razvod,CR,0
ART_000014,Pocinkan cevni razvod,CR,0
ART_000015,Brezšivna črna cev,CR,0
ART_000016,Litoželezni cevni razvod,CR,0
ART_000017,PVC cevni razvod (odvod),CR,0
ART_000018,Cevni razvod iz pocinkane cevi,CR,0
ART_000019,Alkaten cevni razvod,CR,0
ART_000020,Cevni razvod RF,CR,0
ART_000021,Električno dvigalo Schindler 5400,DV,PRZ_0032
ART_000022,Električno dvigalo Schindler 3300,DV,PRZ_0032
ART_000023,Električno dvigalo Schindler 5400 - gasilsko,DV,PRZ_0032
ART_000024,Tekoče stopnice Schindler 9300AE-10-ET-100-K-R,TS,PRZ_0032
ART_000025,Prominent Prodos Plus,DP,PRZ_0030
ART_000026,VISA P650GX GALAXY,EG,PRZ_0042
ART_000027,Avtomatski filter Firšt Z11AS-1A,FT,PRZ_0012
ART_000028,Pastor gasilnik 6kg ABC,GA,PRZ_0029
ART_000029,Grelnik vode T1000,GV,PRZ_0015
ART_000030,Blue Box Frigus 100.2,HA,PRZ_0005
ART_000031,Blue Box Frigus 39.2,HA,PRZ_0005
ART_000032,Hidrant Gallus tip F,HI,PRZ_0013
ART_000033,Stenski hidrant HO-E 25,HI,PRZ_0022
ART_000034,Systemair Jet fan AV355-2/4,JF,PRZ_0039
ART_000035,Itron-Allmess CF Echo II DN20,KA,PRZ_0019
ART_000036,Itron-Allmess CF Echo II DN25,KA,PRZ_0019
ART_000037,Klimat hidria tip xxx,KL,PRZ_0018
ART_000038,Shamal SB28/30 CM2,KO,PRZ_0033
ART_000039,Grundfoss UPS 15-50 N 130,OC,PRZ_0016
ART_000040,Grundfoss UPS 25-40 N 180,OC,PRZ_0016
ART_000041,Grundfoss MQE 71A2-14FT85-C,OC,PRZ_0016
ART_000042,Grundfoss TPE 32-50/2,OC,PRZ_0016
ART_000043,Grundfoss NB 100-315/295,OC,PRZ_0016
ART_000044,Grundfoss NB 65-125/144,OC,PRZ_0016
ART_000045,Grundfoss MAGNA 25-60 180,OC,PRZ_0016
ART_000046,Grundfoss MAGNA 25-100 180,OC,PRZ_0016
ART_000047,Grundfoss MAGNA 32-100 180,OC,PRZ_0016
ART_000048,Grundfoss MGE71A4-14FF130-C,OC,PRZ_0016
ART_000049,Grundfoss MGE90SA2-FT100-D,OC,PRZ_0016
ART_000050,Obtočna črpalka ITT FCE 40-160/22,OC,PRZ_0020
ART_000051,Obtočna črpalka ITT FCE 125/15,OC,PRZ_0020
ART_000052,Obtočna črpalka ITT TLCB 25-6L,OC,PRZ_0020
ART_000053,Obtočna črpalka ITT TLCB 15-4L,OC,PRZ_0020
ART_000054,"Wilo IP-E80/115-2,2",OC,PRZ_0044
ART_000055,Požarna centrala Cerberus FC 724,PC,PRZ_0034
ART_000056,Pločevinasti prezračevalni kanal,PK,PRZ_0037
ART_000057,Požarna loputa PL-12,PL,PRZ_0018
ART_000058,Grundfos SLV 80.80.40.2.51.D,PO,PRZ_0016
ART_000059,Potopna črpalka KSB SLV 80,PO,PRZ_0024
ART_000060,Reflexomat VS 90/1,PP,PRZ_0031
ART_000061,Variomat VG 200 (2-1/95),PP,PRZ_0031
ART_000062,Control P,PP,PRZ_0031
ART_000063,Onda CT 21,PT,PRZ_0028
ART_000064,Onda CT 42,PT,PRZ_0028
ART_000065,Požarna zavesa Fibershield-E120 + RZ 8,PZ,PRZ_0036
ART_000066,Požarna vrata tip: x,VPZ,PRZ_0026
ART_000067,Hitrotekoča rolo vrata EFA-SRT ECO 274,VRO,PRZ_0009
ART_000068,Polnilni rezervoar KSB tip591.01,RZ,PRZ_0024
ART_000069,Sprinkler sistem,SP,PRZ_0025
ART_000070,Blue Box Polaris 16.3,TC,PRZ_0005
ART_000071,Aquasystem VR 18,TP,PRZ_0003
ART_000072,Cimm AFE CE 80,TP,PRZ_0008
ART_000073,Reflex S 33,TP,PRZ_0031
ART_000074,Reflex VG 200,TP,PRZ_0031
ART_000075,Reflex RG 200,TP,PRZ_0031
ART_000076,Reflex DT 80,TP,PRZ_0031
ART_000077,Reflex DT 1000,TP,PRZ_0031
ART_000078,Reflex N 600,TP,PRZ_0031
ART_000079,Refkex N,TP,PRZ_0031
ART_000080,Reflex NG 140,TP,PRZ_0031
ART_000081,Toplotna postaja KTP 250,TPP,PRZ_0035
ART_000082,Toplotna postaja KTP 1000,TPP,PRZ_0035
ART_000083,Woltman vodomer WP-MFD 228,VD,PRZ_0045
ART_000084,Formula65 INIBIT TR SA BEGHELLI,VS,PRZ_0004
ART_000085,Caleffi tip 527,VV,PRZ_0006
ART_000086,Varnostni ventil Castel 3060/45C280,VV,PRZ_0007
ART_000087,Varnostni ventil tip 652,VV,PRZ_0014
ART_000088,Herose SV-10,VV,PRZ_0017
ART_000089,Kovina DN 25,VV,PRZ_0023
ART_000090,Varnostni ventil Nuova General DN15,VV,PRZ_0027
ART_000091,Varnostni ventil Nuova General DN25,VV,PRZ_0027
ART_000092,Varnostni ventil SYR 16,VV,PRZ_0038
ART_000093,Varnostni ventil SYR 10,VV,PRZ_0038
ART_000094,TIEME tip1917,VV,PRZ_0040
ART_000095,TIEME tip1918 DN15,VV,PRZ_0040
ART_000096,Watts W256,VV,PRZ_0043
