naziv,postna_stevilka,drzava
Adlešiči,8341,1
Ajdovščina,5270,1
Ankaran/Ancarano,6280,1
Apače,9253,1
Artiče,8253,1
Begunje na Gorenjskem,4275,1
Begunje pri Cerknici,1382,1
Beltinci,9231,1
Benedikt,2234,1
Bistrica ob Dravi,2345,1
Bistrica ob Sotli,3256,1
Bizeljsko,8259,1
Blagovica,1223,1
Blanca,8283,1
Bled,4260,1
Blejska Dobrava,4273,1
Bodonci,9265,1
Bogojina,9222,1
Bohinjska Bela,4263,1
Bohinjska Bistrica,4264,1
Bohinjsko jezero,4265,1
Borovnica,1353,1
Boštanj,8294,1
Bovec,5230,1
Branik,5295,1
Braslovče,3314,1
Breginj,5223,1
Brestanica,8280,1
Bresternica,2354,1
Brezje,4243,1
Brezovica pri Ljubljani,1351,1
Brežice,8250,1
Brnik – Aerodrom,4210,1
Brusnice,8321,1
Buče,3255,1
Bučka,8276,1
Cankova,9261,1
Celje,3000,1
Celje P.P.,3001,1
Cerklje na Gorenjskem,4207,1
Cerklje ob Krki,8263,1
Cerknica,1380,1
Cerkno,5282,1
Cerkvenjak,2236,1
Ceršak,2215,1
Cirkovce,2326,1
Cirkulane,2282,1
Col,5273,1
Čatež ob Savi,8251,1
Čemšenik,1413,1
Čepovan,5253,1
Črenšovci,9232,1
Črna na Koroškem,2393,1
Črni Kal,6275,1
Črni Vrh nad Idrijo,5274,1
Črniče,5262,1
Črnomelj,8340,1
Dekani,6271,1
Deskle,5210,1
Destrnik,2253,1
Divača,6215,1
Dob,1233,1
Dobje pri Planini,3224,1
Dobova,8257,1
Dobovec,1423,1
Dobravlje,5263,1
Dobrna,3204,1
Dobrnič,8211,1
Dobrova,1356,1
Dobrovnik/Dobronak,9223,1
Dobrovo v Brdih,5212,1
Dol pri Hrastniku,1431,1
Dol pri Ljubljani,1262,1
Dole pri Litiji,1273,1
Dolenja vas,1331,1
Dolenjske Toplice,8350,1
Domžale,1230,1
Dornava,2252,1
Dornberk,5294,1
Draga,1319,1
Dragatuš,8343,1
Dramlje,3222,1
Dravograd,2370,1
Duplje,4203,1
Dutovlje,6221,1
Dvor,8361,1
Fala,2343,1
Fokovci,9208,1
Fram,2313,1
Frankolovo,3213,1
Gabrovka,1274,1
Globoko,8254,1
Godovič,5275,1
Golnik,4204,1
Gomilsko,3303,1
Gorenja vas,4224,1
Gorica pri Slivnici,3263,1
Gorišnica,2272,1
Gornja Radgona,9250,1
Gornji Grad,3342,1
Gozd Martuljek,4282,1
Gracišče,6272,1
Grad,9264,1
Gradac,8332,1
Grahovo,1384,1
Grahovo ob Bači,5242,1
Grgar,5251,1
Griže,3302,1
Grobelno,3231,1
Grosuplje,1290,1
Hajdina,2288,1
Hinje,8362,1
Hoče,2311,1
Hodoš/Hodos,9205,1
Horjul,1354,1
Hotedršica,1372,1
Hrastnik,1430,1
Hruševje,6225,1
Hrušica,4276,1
Idrija,5280,1
Ig,1292,1
Ilirska Bistrica,6250,1
Ilirska Bistrica-Trnovo,6251,1
Ivančna Gorica,1295,1
Ivanjkovci,2259,1
Izlake,1411,1
Izola/Isola,6310,1
Jakobski Dol,2222,1
Jarenina,2221,1
Jelšane,6254,1
Jesenice,4270,1
Jesenice na Dolenjskem,8261,1
Jurklošter,3273,1
Jurovski Dol,2223,1
Juršinci,2256,1
Kal nad Kanalom,5214,1
Kalobje,3233,1
Kamna Gorica,4246,1
Kamnica,2351,1
Kamnik,1241,1
Kanal,5213,1
Kapele,8258,1
Kapla,2362,1
Kidričevo,2325,1
Kisovec,1412,1
Knežak,6253,1
Kobarid,5222,1
Kobilje,9227,1
Kočevje,1330,1
Kočevska Reka,1338,1
Kog,2276,1
Kojsko,5211,1
Komen,6223,1
Komenda,1218,1
Koper/Capodistria,6000,1
Koper/Capodistria – P.P.,6001,1
Koprivnica,8282,1
Kostanjevica na Krasu,5296,1
Kostanjevica na Krki,8311,1
Kostel,1336,1
Košana,6256,1
Kotlje,2394,1
Kozina,6240,1
Kozje,3260,1
Kranj,4000,1
Kranj – P.P.,4001,1
Kranjska Gora,4280,1
Kresnice,1281,1
Križe,4294,1
Križevci,9206,1
Križevci pri Ljutomeru,9242,1
Krka,1301,1
Krmelj,8296,1
Kropa,4245,1
Krška vas,8262,1
Krško,8270,1
Kuzma,9263,1
Laporje,2318,1
Laško,3270,1
Laze v Tuhinju,1219,1
Lenart v Slovenskih goricah Slovenskih,2230,1
Lendava/Lendva,9220,1
Lesce,4248,1
Lesično,3261,1
Leskovec pri Krškem,8273,1
Libelice,2372,1
Limbuš,2341,1
Litija,1270,1
Ljubečna,3202,1
Ljubljana,1000,1
Ljubljana – P.P.,1001,1
Ljubljana – Črnuče,1231,1
Ljubljana – Dobrunje,1261,1
Ljubljana – Polje,1260,1
Ljubljana – Šentvid,1210,1
Ljubljana – Šmartno,1211,1
Ljubno ob Savinji,3333,1
Ljutomer,9240,1
Loče,3215,1
Log pod Mangartom,5231,1
Log pri Brezovici,1358,1
Logatec,1370,1
Logatec,1371,1
Loka pri Zidanem Mostu Zidanem,1434,1
Loka pri Žusmu,3223,1
Lokev,6219,1
Loški Potok,1318,1
Lovrenc na Dravskem polju Dravskem,2324,1
Lovrenc na Pohorju,2344,1
Luče,3334,1
Lukovica,1225,1
Mačkovci,9202,1
Majšperk,2322,1
Makole,2321,1
Mala Nedelja,9243,1
Malečnik,2229,1
Marezige,6273,1
Maribor,2000,1
Maribor – P.P.,2001,1
Marjeta na Dravskem polju,2206,1
Markovci,2281,1
Martjanci,9221,1
Materija,6242,1
Mavčiče,4211,1
Medvode,1215,1
Mengeš,1234,1
Metlika,8330,1
Mežica,2392,1
Miklavž na Dravskem polju,2204,1
Miklavž pri Ormožu,2275,1
Miren,5291,1
Mirna,8233,1
Mirna Peč,8216,1
Mislinja,2382,1
Mojstrana,4281,1
Mokronog,8230,1
Moravče,1251,1
Moravske Toplice,9226,1
Most na Soči,5216,1
Motnik,1221,1
Mozirje,3330,1
Murska Sobota,9000,1
Murska Sobota – P.P.,9001,1
Muta,2366,1
Naklo,4202,1
Nazarje,3331,1
Notranje Gorice,1357,1
Nova Cerkev,3203,1
Nova Gorica,5000,1
Nova Gorica – P.P.,5001,1
Nova vas,1385,1
Novo mesto,8000,1
Novo mesto – P.P.,8001,1
Obrov,6243,1
Odranci,9233,1
Oplotnica,2317,1
Orehova vas,2312,1
Ormož,2270,1
Ortnek,1316,1
Osilnica,1337,1
Otočec,8222,1
Ožbalt,2361,1
Pernica,2231,1
Pesnica pri Mariboru,2211,1
Petrovci,9203,1
Petrovče,3301,1
Piran/Pirano,6330,1
Pišece,8255,1
Pivka,6257,1
Planina,6232,1
Planina pri Sevnici,3225,1
Pobegi,6276,1
Podbočje,8312,1
Podbrdo,5243,1
Podčetrtek,3254,1
Podgorci,2273,1
Podgorje,6216,1
Podgorje pri Slovenj Gradcu,2381,1
Podgrad,6244,1
Podkum,1414,1
Podlehnik,2286,1
Podnanos,5272,1
Podnart,4244,1
Podplat,3241,1
Podsreda,3257,1
Podvelka,2363,1
Pohorje,2208,1
Polenšak,2257,1
Polhov Gradec,1355,1
Poljane nad Škofjo Loko,4223,1
Poljčane,2319,1
Polšnik,1272,1
Polzela,3313,1
Ponikva,3232,1
Portorož/Portorose,6320,1
Postojna,6230,1
Pragersko,2331,1
Prebold,3312,1
Preddvor,4205,1
Prem,6255,1
Preserje,1352,1
Prestranek,6258,1
Prevalje,2391,1
Prevorje,3262,1
Primskovo,1276,1
Pristava pri Mestinju,3253,1
Prosenjakovci/Partosfalva,9207,1
Prvačina,5297,1
Ptuj,2250,1
Ptujska Gora,2323,1
Puconci,9201,1
Rače,2327,1
Radeče,1433,1
Radenci,9252,1
Radlje ob Dravi,2360,1
Radomlje,1235,1
Radovljica,4240,1
Raka,8274,1
Rakek,1381,1
Rateče – Planica,4283,1
Ravne na Koroškem,2390,1
Rečica ob Savinji,3332,1
Renče,5292,1
Ribnica,1310,1
Ribnica na Pohorju,2364,1
Rimske Toplice,3272,1
Rob,1314,1
Ročinj,5215,1
Rogaška Slatina,3250,1
Rogašovci,9262,1
