oznaka,naziv
ZVPoz,Zakon o varstvu pred požarom
EDA0608-STR,PID Eda center - Strojne instalacije
EDA0608-EL,PID Eda center - Elektro instalacije
APZ,Pravilnik o pregledovanju in preizkušanju sistemov aktivne požarne zaščite
TVG,Pravilnik o minimalnih tehničnih in drugih pogojih za vzdrževanje ročnih in prevoznih gasilnih aparatov
ZVD,Pravilnik o zahtevah za zagotavljanje varnosti in zdravja delavcev na delovnih mestih
PR,Požarni red Eda center
IUVP,Pravilnik o usposabljanju in pooblastilih za izvajanje ukrepov varstva pred požarom
PHO,Pravilnik o preizkušanju hidrantnih omrežij
TNHOGP,Pravilnik o tehničnih normativih za hidrantno omrežje za gašenje požarov
OMKN,"Pravilnik o oskrbi malih kurilnih naprav, dimnih vodov in zračnikov pri opravljanju javne službe izvajanja meritev, pregledovanju in čiščenju kurilnih naprav, dimnih vodov in zračnikov"
UOSSFTP,Uredba o uporabi ozonu škodljivih snovi in fluoriranih toplogrednih plinov
UIUES,Uredba o izvajanju uredbe (ES) o določenih fluoriranih toplogrednih plinih
DVGW-W551,Nemška delovna norma DVGW - W551
PPKS,Pravilnik o prezračevanju in klimatizaciji stavb
ZVZD-1,Pravilnik o varstvu in zdravju pri delu
VZUDO,Pravilnik o varnosti in zdravju pri uporabi delovne opreme
VET,Pravilnik o varstvu pri delu pred nevarnostjo električnega toka
PDV,Pravilnik o varnosti dvigal
PPOPT,Pravilnik o pregledovanju in preskušanju opreme pod tlakom
UEN,Pravilnik o strokovnem usposbaljanju in preizkusu znanja za upravljanje energetskih naprav
ZSS,Pravilnik o zaščiti stavb pred delovanjem strele
ZAP-BA02-2014-06-13,Zapisnik inšepkcijskega pregleda panelne fasade Eda center
ZAP-04-SES-14-01,Zapisnik Sestanek predstavnikov lastnikov 21.5.2014
POUS,Pogodba o opravljanju upravniških storitev Eda center
MI,Pravilnik o merilnih instrumentih
PID ŠP 01/11,PID Eda center - Panelna fasada
WIC-04122008,Navodila za uporabo in vzdrževanje WICONA 04122008
UN-F-20130514,Ustno naročilo Euroinvest
AERMEC FanCoil,Navodila proizvajalca AERMEC FanCoil
