oznaka,naziv,predpis_sklop
VO-ZR,Varstvo okolja - zrak,VO
VO-ZRKN,Varstvo okolja - zrak - kurilne naprave,VO
VO-SNT,Varstvo okolja - skladiščenje nevarnih tekočin,VO
VO-O,Varstvo okolja - odpadki,VO
VO-H,Varstvo okolja - hrup,VO
VO-OSS,Varstvo okolja - ozonu škodljive snovi,VO
PV-S,Požarna varnost - splošno,PV
ZV-S,Zdravstveno varstvo - splošno,ZV
ZV-B,Zdravstveno varstvo - bazen,ZV
VD-S,Varstvo in zdravje pri delu - splošno,VD
VD-D,Varstvo in zdravje pri delu - dvigala,VD
VD-EV,Varstvo in zdravje pri delu - eksplozijska varnost,VD
VD-NKS,Varstvo in zdravje pri delu - nevarne kemične snovi,VD
EN-EIZS,Energetski predpisi - elektro instalcije in zaščita pred strelo,EN
EN-OPT,Energetski predpisi - oprema pod tlakom,EN
EN-PZP,Energetski predpisi - plinovod za zemeljski plin do 16 bar,EN
EN-UEN,Upravljanje energetskih naprav,EN
POV-NOV,Projekti obratovanja in vzdrževanja - Navodila za obratovanje in vzdrževanje (PID),POV
POV-NP,Projekti obratovanja in vzdrževanja - Navodila proizvajalca opreme,POV
POV-DP,Projekti obratovanja in vzdrževanja - Dobra praksa,POV
INS-S,Inšpekcijski nadzori splošno,INS
INT-RC,Interni dogovori etažnih lastnikov - Redno čiščenje,INT
